configuracion,regParam,elasticNetParam,MAE,RMSE,R2
Sin regularización,0.0,0.0,1210.1374804326083,2186.4195786682253,0.42567455403897914
Ridge,0.1,0.0,1210.1327374449265,2186.420864951007,0.42567387828108094
Elastic Net,0.1,0.5,1210.1070221281218,2186.424784949301,0.42567181887936945
