configuracion,numTrees,maxDepth,MAE,RMSE,R2
RF-A,50,5,1157.2207571417998,2162.2164102726956,0.43831948088887196
RF-B,100,10,1076.064046911492,1985.9515522852084,0.5261636848352726
RF-C,150,10,1075.4859516880726,1982.775366172192,0.5276781113426494
